# Prcp
	Alabama	California	Connecticut	Idaho	Alabama	California	Connecticut	Idaho	Alabama	California	Connecticut	Idaho
TIMESTEP	MEAN(mm/d)	MEAN(mm/d)	MEAN(mm/d)	MEAN(mm/d)	MINIMUM(mm/d)	MINIMUM(mm/d)	MINIMUM(mm/d)	MINIMUM(mm/d)	VARIANCE(mm/d^2)	VARIANCE(mm/d^2)	VARIANCE(mm/d^2)	VARIANCE(mm/d^2)
1950-02-27T00:00:00Z	0.19855922	0.13513727	0.5395652	1.4384323	0.0	0.0	0.0	0.0	0.9655241	0.23906201	4.3014765	7.7384934
1950-02-28T00:00:00Z	9.17072	0.012831892	0.7077174	0.012756005	0.0	0.0	0.0	0.0	38.125923	0.0073504047	0.16128154	0.005158497
1950-03-01T00:00:00Z	9.098193	0.48663408	0.73413044	0.12505057	0.0	0.0	0.0	0.0	49.181206	2.0418653	0.20316297	0.14592773
1950-03-02T00:00:00Z	0.604359	0.7748665	0.17793478	1.2974968	0.0	0.0	0.0	0.0	2.5718434	4.275084	0.055704482	2.9791505
1950-03-03T00:00:00Z	4.0305862	0.22682963	0.0026086958	2.7129772	0.0	0.0	0.0	0.0	32.38843	1.9075655	1.601529E-4	11.711678
1950-03-04T00:00:00Z	10.400232	0.07955623	0.0	2.8323514	0.0	0.0	0.0	0.0	94.35317	0.2865408	0.0	18.744217
1950-03-05T00:00:00Z	6.0349326	3.5426476	0.0	5.6263022	0.0	0.0	0.0	0.0	37.59397	64.40079	0.0	45.018585
1950-03-06T00:00:00Z	4.149451	1.6392779	0.0	4.555253	0.0	0.0	0.0	0.0	13.996115	16.010748	0.0	25.43262
1950-03-07T00:00:00Z	8.3881445	0.037924033	1.7402173	1.2939128	0.0	0.0	0.0	0.0	16.69306	0.17816612	4.455422	8.671963
1950-03-08T00:00:00Z	5.9998655	0.47414443	8.432717	1.6607648	0.0	0.0	1.85	0.0	15.4157715	2.9416876	24.238016	4.45324
1950-03-09T00:00:00Z	0.028009769	1.2987627	4.4158697	3.6219974	0.0	0.0	0.5	0.0	0.050047748	8.532344	6.836416	15.504943
1950-03-10T00:00:00Z	0.08388279	0.802956	0.33652174	3.352756	0.0	0.0	0.0	0.0	0.24046536	4.48249	1.2741988	15.510665
1950-03-11T00:00:00Z	2.5298047	1.888018	0.4647826	1.1571113	0.0	0.0	0.0	0.0	39.509132	12.390984	0.17981863	2.4435582
1950-03-12T00:00:00Z	24.762527	0.13373448	1.6734782	0.5812326	0.0	0.0	0.05	0.0	896.46515	0.67150867	0.92658556	0.9158619
1950-03-13T00:00:00Z	24.710562	0.07318917	4.146087	0.8027623	0.35	0.0	1.88	0.0	397.62717	0.1251012	1.3164328	1.9364178
1950-03-14T00:00:00Z	4.7468376	0.16687852	1.7406522	0.5712579	0.0	0.0	0.1	0.0	34.46558	0.5025603	0.47653803	6.10843
1950-03-15T00:00:00Z	10.237192	0.027792403	0.0	1.6607648	0.0	0.0	0.0	0.0	194.52818	0.075919844	0.0	8.062835
1950-03-16T00:00:00Z	5.812503	1.9622302	0.037608698	8.817017	0.0	0.0	0.0	0.03	54.190083	61.743023	0.006770043	67.5357
1950-03-17T00:00:00Z	0.017838828	8.262644	3.135	13.244109	0.0	0.0	0.5	0.2	0.01662503	240.19977	1.9341022	114.457054
1950-03-18T00:00:00Z	0.3442735	2.5061603	2.5107608	4.848862	0.0	0.0	0.4	0.0	1.5411668	68.88194	1.3002335	15.8547
1950-03-19T00:00:00Z	3.8773139	8.247149	0.010543478	6.130759	0.0	0.0	0.0	0.0	14.434097	187.9779	0.0011458552	16.958275
1950-03-20T00:00:00Z	3.9000611	1.4021099	3.9319565	1.2530088	0.0	0.0	0.03	0.0	13.280589	16.085533	7.690029	3.2101119
1950-03-21T00:00:00Z	2.314542	0.9484017	9.726413	2.235373	0.0	0.0	3.53	0.0	9.354196	9.494151	25.446304	5.052814
1950-03-22T00:00:00Z	1.473663	4.7244077	11.529456	4.14366	0.0	0.0	1.45	0.0	5.139587	47.855583	19.200987	14.605754
1950-03-23T00:00:00Z	0.11711844	2.9147387	11.26	3.324368	0.0	0.0	2.7	0.0	0.14139217	41.29112	31.885756	11.588387
1950-03-24T00:00:00Z	1.6102564	15.965776	1.9086957	6.4521747	0.0	0.0	0.4	0.0	8.579536	325.95392	1.3946247	29.059603
1950-03-25T00:00:00Z	1.4724053	8.306288	0.0077173915	4.431688	0.0	0.0	0.0	0.0	8.895089	94.358246	0.0011189083	16.191557
1950-03-26T00:00:00Z	1.6250184	1.8337533	0.7928261	2.1014159	0.0	0.0	0.0	0.0	11.224398	10.559341	0.5726293	3.9796207
1950-03-27T00:00:00Z	14.130257	0.72036856	2.9996738	3.003173	0.0	0.0	0.88	0.0	48.22806	2.9699833	1.1221966	13.199462
1950-03-28T00:00:00Z	9.135995	0.02842046	4.3202176	1.0860556	0.0	0.0	2.15	0.0	45.78321	0.027990883	0.8295296	4.466834
1950-03-29T00:00:00Z	0.11996337	0.0	2.3295653	0.24804045	0.0	0.0	0.12	0.0	0.12040966	0.0	1.1281427	0.30361247
1950-03-30T00:00:00Z	0.016300367	0.0	0.58119565	1.2693427	0.0	0.0	0.0	0.0	0.02785928	0.0	0.20743921	7.703542
1950-03-31T00:00:00Z	1.67779	0.0	0.016521739	2.6970732	0.0	0.0	0.0	0.0	4.989793	0.0	0.0029020545	22.044596
1950-04-01T00:00:00Z	2.5997436	0.0035765327	1.1714131	3.9979582	0.0	0.0	0.08	0.0	4.137812	0.0013736973	0.4014892	44.892517
1950-04-02T00:00:00Z	0.92236876	0.033576533	1.7390218	2.544393	0.0	0.0	0.4	0.0	6.135147	0.060481224	0.7669408	10.805767
1950-04-03T00:00:00Z	7.8039436	0.0	2.0848913	1.2253413	0.0	0.0	0.17	0.0	128.21931	0.0	0.9786428	4.2128563
1950-04-04T00:00:00Z	17.19282	0.07722076	2.3234782	0.033445004	0.0	0.0	0.0	0.0	246.95625	0.8689425	1.2059834	0.02049331
1950-04-05T00:00:00Z	6.5424175	0.9798684	2.9452174	0.46543616	0.0	0.0	1.1	0.0	22.148102	8.217717	1.4813769	0.35481104
1950-04-06T00:00:00Z	0.031733822	4.327097	0.7823913	1.5621934	0.0	0.0	0.0	0.0	0.035084765	58.307354	0.28466675	3.040182
1950-04-07T00:00:00Z	0.004859585	5.858928	0.016521739	2.2021365	0.0	0.0	0.0	0.0	0.0015235438	79.069855	0.009770187	6.301722
1950-04-08T00:00:00Z	0.0	11.921463	0.50391304	3.1886156	0.0	0.0	0.0	0.0	0.0	240.70346	0.43816695	9.831954
1950-04-09T00:00:00Z	0.0021978023	6.043603	0.48423913	0.7408913	0.0	0.0	0.0	0.0	5.034767E-4	80.61227	0.7544445	3.6390457
1950-04-10T00:00:00Z	1.4978876	0.06734487	0.03554348	0.06381163	0.0	0.0	0.0	0.0	3.547554	0.49809304	0.010192009	0.073428534
1950-04-11T00:00:00Z	3.1871061	0.011026702	0.38413045	0.0	0.0	0.0	0.0	0.0	4.9463177	0.026306733	0.12298935	0.0
1950-04-12T00:00:00Z	0.82882786	1.3215119	1.6263044	1.4553919	0.0	0.0	0.12	0.0	1.4180624	25.542986	0.60039276	8.526295
1950-04-13T00:00:00Z	0.022100123	2.3625686	8.037718	4.517484	0.0	0.0	2.38	0.0	0.01388018	19.042253	14.568741	43.815964
1950-04-14T00:00:00Z	0.01076923	0.36216998	5.74663	2.8114665	0.0	0.0	0.73	0.0	0.0045347377	1.1972423	7.854908	11.665319
1950-04-15T00:00:00Z	0.0015750916	0.049270403	0.31065217	0.15950063	0.0	0.0	0.0	0.0	1.8247939E-4	0.18545808	0.21464573	0.26358894
1950-04-16T00:00:00Z	0.037741147	0.0	0.0	0.31964603	0.0	0.0	0.0	0.0	0.06500357	0.0	0.0	0.89834803
1950-04-17T00:00:00Z	6.235641	0.0033245583	0.0	0.30207333	0.0	0.0	0.0	0.0	31.47568	0.0017012081	0.0	1.0035132
1950-04-18T00:00:00Z	5.596728	0.0	0.004021739	0.0	0.0	0.0	0.0	0.0	29.55618	0.0	6.5287866E-4	0.0
1950-04-19T00:00:00Z	0.47589743	0.0	4.9194565	0.0	0.0	0.0	0.03	0.0	1.1336181	0.0	9.215247	0.0
1950-04-20T00:00:00Z	0.10159951	0.0	12.85163	0.0	0.0	0.0	5.2	0.0	0.3182391	0.0	20.376293	0.0
1950-04-21T00:00:00Z	0.16103785	4.81384E-4	5.1227174	0.20312263	0.0	0.0	0.2	0.0	0.72012544	2.2640477E-4	12.9590025	0.29968107
1950-04-22T00:00:00Z	0.827033	0.016137647	0.34836957	0.8715234	0.0	0.0	0.0	0.0	3.4259405	0.014914836	0.07564896	3.5313344
1950-04-23T00:00:00Z	1.2333455	0.014569387	0.61630434	1.0614538	0.0	0.0	0.0	0.0	8.883983	0.026436713	0.31920597	3.1107824
1950-04-24T00:00:00Z	2.386093	0.0024370064	0.17239131	0.14918457	0.0	0.0	0.0	0.0	6.952063	0.0010634343	0.062488724	0.16085657
1950-04-25T00:00:00Z	6.540867	8.574652E-4	5.461848	0.16906448	0.0	0.0	1.17	0.0	47.369503	3.959537E-4	7.107373	0.20287287
1950-04-26T00:00:00Z	2.4180098	0.00509214	6.866413	1.3146018	0.0	0.0	3.65	0.0	9.76039	0.0038556256	5.732291	2.2452579
1950-04-27T00:00:00Z	5.274811	0.08893569	3.7636957	3.2085524	0.0	0.0	0.15	0.0	39.23534	0.22963652	3.2925465	6.5702906
1950-04-28T00:00:00Z	5.3377657	0.027367432	4.092283	1.8637168	0.0	0.0	0.68	0.0	24.43076	0.056685694	4.5887694	5.054264
1950-04-29T00:00:00Z	4.129084	0.0039789397	3.6215217	0.5802402	0.0	0.0	0.2	0.0	19.364069	0.0017706181	3.33071	2.5225534
1950-04-30T00:00:00Z	6.5058975	0.1444829	4.3025	1.6706764	0.0	0.0	1.4	0.0	42.615524	0.65331584	2.1154563	3.0172763
1950-05-01T00:00:00Z	10.920635	5.098353	5.744022	5.9916058	0.0	0.0	3.45	0.1	88.85844	84.751724	1.3420618	18.012424
1950-05-02T00:00:00Z	13.013236	5.1886764	1.3390217	5.231454	0.0	0.0	0.0	0.0	146.90936	66.136856	0.9164419	23.776411
1950-05-03T00:00:00Z	4.185653	4.7223883	0.0015217391	1.4266119	0.0	0.0	0.0	0.0	15.31697	54.339054	8.776875E-5	3.952549
1950-05-04T00:00:00Z	0.0118315015	1.0218767	2.3677175	2.2119026	0.0	0.0	0.0	0.0	0.0032809936	5.441632	4.9528356	5.864778
1950-05-05T00:00:00Z	0.0019169719	0.09600226	3.1701088	2.419153	0.0	0.0	0.0	0.0	0.0012235823	0.15289932	5.694937	7.787886
1950-05-06T00:00:00Z	0.015970696	0.1241933	0.63304347	0.8787863	0.0	0.0	0.0	0.0	0.022417974	0.22543286	0.16619723	2.2754734
1950-05-07T00:00:00Z	0.17179488	0.09459195	0.0	0.9284071	0.0	0.0	0.0	0.0	0.44565216	0.23124252	0.0	5.620309
1950-05-08T00:00:00Z	0.44752136	0.005490786	0.032391306	1.420038	0.0	0.0	0.0	0.0	3.8354535	0.0013468151	0.033170044	7.673676
1950-05-09T00:00:00Z	0.7975702	0.008773975	3.6038043	1.2016245	0.0	0.0	1.12	0.0	3.2463202	0.023077503	1.7396458	4.1732645
1950-05-10T00:00:00Z	1.2855189	0.017277172	5.9045653	0.18611252	0.0	0.0	2.03	0.0	4.200438	0.0930129	9.687904	0.382778
1950-05-11T00:00:00Z	1.1538461	0.010361038	1.1521739	0.004911504	0.0	0.0	0.0	0.0	3.6542666	0.014078951	1.8745029	9.974305E-4
1950-05-12T00:00:00Z	5.1794996	0.1281572	0.005	0.001295828	0.0	0.0	0.0	0.0	43.497143	0.8071514	4.978022E-4	1.7826917E-4
1950-05-13T00:00:00Z	8.689768	0.09529523	0.101956524	0.03153603	0.0	0.0	0.0	0.0	65.39774	0.40523502	0.049323604	0.012515603
1950-05-14T00:00:00Z	10.264371	0.019830763	0.053369567	0.112699114	0.0	0.0	0.0	0.0	64.89991	0.014282402	0.017578632	0.114796944
1950-05-15T00:00:00Z	5.0389867	0.03939451	0.38141304	0.016554995	0.0	0.0	0.0	0.0	27.328827	0.122027285	0.08892875	0.007372628
1950-05-16T00:00:00Z	0.89019537	0.0020195562	0.80793476	0.26025915	0.0	0.0	0.0	0.0	3.5900526	0.006124174	2.805043	0.32894307
1950-05-17T00:00:00Z	0.4235531	0.055701394	2.259348	1.2126675	0.0	0.0	0.2	0.0	1.7517704	0.050962064	5.8392677	4.6335826
1950-05-18T00:00:00Z	1.4577533	0.0011282437	9.911413	1.7348925	0.0	0.0	4.25	0.0	9.068762	2.470336E-4	11.667032	6.7329674
1950-05-19T00:00:00Z	11.415458	0.0	12.063805	0.7016751	0.0	0.0	7.28	0.0	115.73655	0.0	7.4573026	2.8096943
1950-05-20T00:00:00Z	8.161563	0.0	3.1377175	0.060259167	0.0	0.0	0.6	0.0	53.524097	0.0	2.4417915	0.29920506
1950-05-21T00:00:00Z	4.3581805	0.017984204	0.009673913	0.008160557	0.0	0.0	0.0	0.0	24.22344	0.036657184	6.889035E-4	0.0018090748
1950-05-22T00:00:00Z	1.5256166	0.031963143	0.0075	0.043426044	0.0	0.0	0.0	0.0	4.238369	0.101491556	0.002177198	0.029765991
1950-05-23T00:00:00Z	0.032673992	0.03320045	5.1555433	0.021871049	0.0	0.0	0.52	0.0	0.019836484	0.02648317	9.0346575	0.015174991
1950-05-24T00:00:00Z	1.3431013E-4	0.023587815	10.879348	0.026946902	0.0	0.0	2.15	0.0	8.906144E-6	0.04071737	36.966373	0.012614013
1950-05-25T00:00:00Z	0.027643468	0.030285822	9.917717	0.03762326	0.0	0.0	1.3	0.0	0.020956665	0.15017577	39.065334	0.047643937
1950-05-26T00:00:00Z	0.57759464	0.027062805	3.6808696	0.05857775	0.0	0.0	0.1	0.0	1.5201083	0.030151002	10.819628	0.051606767
1950-05-27T00:00:00Z	1.1408547	0.0059195184	0.035108697	0.4392541	0.0	0.0	0.0	0.0	3.212067	0.0073333434	0.0054516364	2.2128692
1950-05-28T00:00:00Z	1.3853724	7.5216245E-5	2.7866304	0.7285651	0.0	0.0	0.0	0.0	8.032701	1.504325E-5	4.9914336	5.0184193
1950-05-29T00:00:00Z	0.96599513	0.0	10.397717	0.010233881	0.0	0.0	6.32	0.0	10.045161	0.0	7.425644	0.0024566816
1950-05-30T00:00:00Z	4.1032724	3.3847312E-4	5.7833695	0.0	0.0	0.0	0.05	0.0	34.339108	6.384326E-5	18.04507	0.0
1950-05-31T00:00:00Z	2.5528326	1.8804062E-4	4.3223915	0.01266751	0.0	0.0	0.0	0.0	18.309101	1.8775765E-5	7.158748	0.0031698565
1950-06-01T00:00:00Z	0.4433944	3.7608123E-5	14.604239	0.45809102	0.0	0.0	5.62	0.0	1.2712016	3.7608124E-6	23.355658	0.60127646
1950-06-02T00:00:00Z	5.8310013	3.3847312E-4	6.122391	1.1026738	0.0	0.0	0.73	0.0	30.4703	4.8794347E-5	11.380535	6.0731483
1950-06-03T00:00:00Z	10.786593	0.014528018	11.491304	0.11826801	0.0	0.0	2.1	0.0	82.75278	0.03232268	40.606968	0.262344
1950-06-04T00:00:00Z	9.448987	0.0011658518	10.508587	0.01517067	0.0	0.0	4.53	0.0	144.18462	4.990165E-4	22.01062	0.013555917
1950-06-05T00:00:00Z	0.8639438	0.0086085	0.2619565	0.23244627	0.0	0.0	0.0	0.0	3.1656613	0.008859312	0.2923258	0.25336853
1950-06-06T00:00:00Z	2.042784	0.56322676	0.0	5.666359	0.0	0.0	0.0	0.0	33.648	3.3089921	0.0	15.371273
1950-06-07T00:00:00Z	5.968071	0.84092516	0.0	11.410449	0.0	0.0	0.0	0.0	54.379032	4.336303	0.0	47.25357
1950-06-08T00:00:00Z	9.408718	0.06430237	0.0	3.5217447	0.0	0.0	0.0	0.0	65.70924	0.14005522	0.0	12.510803
1950-06-09T00:00:00Z	6.6843224	0.22162467	1.1038043	0.12860304	0.0	0.0	0.0	0.0	21.835436	1.3588322	6.510516	0.14981733
1950-06-10T00:00:00Z	5.834835	1.192328	4.711848	0.32570165	0.0	0.0	0.03	0.0	45.033554	15.129449	35.36203	0.7398736
1950-06-11T00:00:00Z	3.2550306	1.9474276	2.8417392	1.4496839	0.0	0.0	0.0	0.0	37.6306	16.061148	11.103927	4.197514
1950-06-12T00:00:00Z	0.14556776	1.2229147	0.19695653	4.266195	0.0	0.0	0.0	0.0	0.39324403	7.149503	0.41846758	36.155613
1950-06-13T00:00:00Z	0.21039072	0.23153065	1.3026087	5.81701	0.0	0.0	0.0	0.0	1.4521905	1.255884	2.7962546	89.236916
1950-06-14T00:00:00Z	0.30372405	0.38941708	6.462935	2.0158596	0.0	0.0	0.25	0.0	1.0857068	2.7038622	16.888248	9.492917
1950-06-15T00:00:00Z	0.55680096	0.66613764	3.7755435	1.1401075	0.0	0.0	0.1	0.0	1.3384768	6.502294	7.7262845	4.2724714
1950-06-16T00:00:00Z	0.8889377	0.51970667	8.002066	1.529785	0.0	0.0	0.55	0.0	11.007691	4.3368125	31.389883	8.693138
1950-06-17T00:00:00Z	0.20777778	0.3052388	7.1602173	2.2237737	0.0	0.0	1.67	0.0	1.0173963	1.3197552	11.080191	15.656362
1950-06-18T00:00:00Z	0.8723443	0.058089506	0.3823913	1.0961884	0.0	0.0	0.0	0.0	2.7725246	0.098660685	0.37174585	3.7745512
1950-06-19T00:00:00Z	2.1460805	0.013128996	0.17391305	0.7939317	0.0	0.0	0.0	0.0	17.819376	0.012241674	0.09161309	1.9540943
1950-06-20T00:00:00Z	7.69801	0.01949229	2.6352174	1.922282	0.0	0.0	0.08	0.0	85.63102	0.022910465	2.7914252	7.2136974
