# rh_debias
,,point1,point2
TIMESTEP,time(day of year),MEAN(%),MEAN(%)
1980-01-01T00:00:00Z,161.0,71.2263,75.7123
1980-01-01T00:00:00Z,162.0,58.906517,66.60508
1980-01-01T00:00:00Z,163.0,54.779118,64.0754
1980-01-01T00:00:00Z,164.0,64.67683,69.63154
1980-01-01T00:00:00Z,165.0,64.112045,64.49037
1980-01-01T00:00:00Z,166.0,65.623055,63.9998
1980-01-01T00:00:00Z,167.0,68.455376,69.65571
1980-01-01T00:00:00Z,168.0,63.936245,64.0249
1980-01-01T00:00:00Z,169.0,54.689777,60.055004
1980-01-01T00:00:00Z,170.0,56.19292,62.71064
1980-01-01T00:00:00Z,171.0,68.842186,69.52479
1980-01-01T00:00:00Z,172.0,79.06711,78.73979
1980-01-01T00:00:00Z,173.0,74.32515,71.29878
1980-01-01T00:00:00Z,174.0,69.48202,67.510796
1980-01-01T00:00:00Z,175.0,67.70495,67.18647
1980-01-01T00:00:00Z,176.0,68.63324,71.68934
1980-01-01T00:00:00Z,177.0,70.15236,72.01723
1980-01-01T00:00:00Z,178.0,65.59806,68.20147
1980-01-01T00:00:00Z,179.0,64.598755,62.05933
1980-01-01T00:00:00Z,180.0,63.669304,67.2036
1980-01-01T00:00:00Z,181.0,57.73947,64.73825
1980-01-01T00:00:00Z,182.0,72.85355,68.77005
1980-01-01T00:00:00Z,183.0,72.17869,70.706154
1980-01-01T00:00:00Z,184.0,64.960434,64.58301
1980-01-01T00:00:00Z,185.0,65.96863,63.55557
1980-01-01T00:00:00Z,186.0,59.88478,60.78944
1980-01-01T00:00:00Z,187.0,57.389977,59.29729
1980-01-01T00:00:00Z,188.0,53.81138,55.89021
1980-01-01T00:00:00Z,189.0,55.864872,61.373066
1980-01-01T00:00:00Z,190.0,65.9158,67.344826
1980-01-01T00:00:00Z,191.0,66.67381,68.13239
1980-01-01T00:00:00Z,192.0,62.96198,62.066425
1980-01-01T00:00:00Z,193.0,64.67365,63.977707
1980-01-01T00:00:00Z,194.0,74.16748,69.20212
1980-01-01T00:00:00Z,195.0,66.99147,63.429707
1980-01-01T00:00:00Z,196.0,72.52402,66.45056
1980-01-01T00:00:00Z,197.0,70.68956,64.636154
1980-01-01T00:00:00Z,198.0,68.91607,69.97852
1980-01-01T00:00:00Z,199.0,76.61128,70.48545
1980-01-01T00:00:00Z,200.0,77.96268,71.18466
1980-01-01T00:00:00Z,201.0,74.81392,65.497345
1980-01-01T00:00:00Z,202.0,77.27305,73.42077
1980-01-01T00:00:00Z,203.0,77.173134,73.4677
1980-01-01T00:00:00Z,204.0,72.805374,72.94699
1980-01-01T00:00:00Z,205.0,78.12973,74.02434
1980-01-01T00:00:00Z,206.0,76.2609,76.6982
1980-01-01T00:00:00Z,207.0,76.584404,74.06813
1980-01-01T00:00:00Z,208.0,72.60602,70.26096
1980-01-01T00:00:00Z,209.0,66.509415,68.223
1980-01-01T00:00:00Z,210.0,66.771545,68.1945
1980-01-01T00:00:00Z,211.0,64.7856,72.087944
1980-01-01T00:00:00Z,212.0,67.06797,75.045135
1980-01-01T00:00:00Z,213.0,74.8831,79.104744
1980-01-01T00:00:00Z,214.0,72.88868,77.15699
1980-01-01T00:00:00Z,215.0,70.045296,70.979744
1980-01-01T00:00:00Z,216.0,63.919064,67.62776
1980-01-01T00:00:00Z,217.0,63.220783,67.86722
1980-01-01T00:00:00Z,218.0,65.28316,68.07922
1980-01-01T00:00:00Z,219.0,67.842674,67.76146
1980-01-01T00:00:00Z,220.0,65.276405,61.744804
1980-01-01T00:00:00Z,221.0,62.34239,62.026535
1980-01-01T00:00:00Z,222.0,61.18264,71.20688
1980-01-01T00:00:00Z,223.0,68.11801,66.466736
1980-01-01T00:00:00Z,224.0,69.3307,65.25953
1980-01-01T00:00:00Z,225.0,68.326485,67.00645
1980-01-01T00:00:00Z,226.0,68.83377,65.62684
1980-01-01T00:00:00Z,227.0,75.162544,70.15464
1980-01-01T00:00:00Z,228.0,74.80962,63.752846
1980-01-01T00:00:00Z,229.0,70.43854,63.708973
1980-01-01T00:00:00Z,230.0,64.76419,62.94144
1980-01-01T00:00:00Z,231.0,65.06731,62.540394
1980-01-01T00:00:00Z,232.0,61.101818,62.800026
1980-01-01T00:00:00Z,233.0,64.26878,74.769035
1980-01-01T00:00:00Z,234.0,57.323147,66.61248
1980-01-01T00:00:00Z,235.0,59.597412,64.760124
1980-01-01T00:00:00Z,236.0,61.21438,65.854256
1980-01-01T00:00:00Z,237.0,58.982006,62.622513
1980-01-01T00:00:00Z,238.0,65.3103,65.0471
1980-01-01T00:00:00Z,239.0,62.188683,63.361366
